hsmpSn,공급유형,원본행수,세대수_고유값수,세대수_고유값,대표세대수,세대수일관성,주소
30704247,매입임대,4,1,7,7,일치,전남광주통합특별시 광산구 신창로48번길 45-4
30704248,매입임대,4,1,7,7,일치,전남광주통합특별시 광산구 신창로48번길 45-8
30704249,매입임대,5,1,5,5,일치,전남광주통합특별시 광산구 신창로48번길 46-13
30704250,매입임대,2,1,5,5,일치,전남광주통합특별시 광산구 신창로48번길 57
30704251,매입임대,2,1,5,5,일치,전남광주통합특별시 광산구 신창로48번길 63
30704252,매입임대,3,1,9,9,일치,전남광주통합특별시 광산구 야촌길 17
30704729,매입임대,7,1,11,11,일치,전남광주통합특별시 동구 무등로 437-1
30704730,매입임대,3,1,9,9,일치,전남광주통합특별시 동구 경양로217번길 5
30704731,매입임대,3,1,12,12,일치,전남광주통합특별시 동구 경양로217번길 8
30704732,매입임대,3,1,12,12,일치,전남광주통합특별시 동구 경양로223번길 6-15
30704733,매입임대,3,1,12,12,일치,전남광주통합특별시 동구 경양로235번길 15
30704734,매입임대,4,1,12,12,일치,전남광주통합특별시 동구 경양로235번길 4-3
30704735,매입임대,1,1,6,6,일치,전남광주통합특별시 동구 무등로415번길 16
30704736,매입임대,2,1,12,12,일치,전남광주통합특별시 동구 무등로449번길 16
30704737,매입임대,3,1,9,9,일치,전남광주통합특별시 동구 무등로449번길 32-1
30704738,매입임대,1,1,12,12,일치,전남광주통합특별시 동구 무등로449번길 42
30704739,매입임대,4,1,9,9,일치,전남광주통합특별시 동구 무등로449번길 48
30704740,매입임대,5,1,9,9,일치,전남광주통합특별시 동구 무등로449번길 5-25
30704741,매입임대,4,1,9,9,일치,전남광주통합특별시 동구 무등로449번길 50
30704742,매입임대,3,1,9,9,일치,전남광주통합특별시 동구 무등로449번길 8-8
30704743,매입임대,3,1,13,13,일치,전남광주통합특별시 동구 밤실로136번길 13-7
30704744,매입임대,5,1,12,12,일치,전남광주통합특별시 동구 산수길39번길 26
30704745,매입임대,3,1,12,12,일치,전남광주통합특별시 동구 의재로136번길 26-4
30704746,매입임대,1,1,12,12,일치,전남광주통합특별시 동구 의재로51번길 21
30704747,매입임대,2,1,12,12,일치,전남광주통합특별시 동구 중흥로227번길 12
30704748,매입임대,5,1,12,12,일치,전남광주통합특별시 동구 중흥로227번길 6-11
30704749,매입임대,2,1,6,6,일치,전남광주통합특별시 동구 중흥로241번길 22-1
30704750,매입임대,5,1,19,19,일치,전남광주통합특별시 동구 필문대로106번길 4
30704751,매입임대,2,1,12,12,일치,전남광주통합특별시 동구 필문대로137번길 5-7
30704752,매입임대,2,1,12,12,일치,전남광주통합특별시 동구 필문대로153번길 24
30704753,매입임대,2,1,12,12,일치,전남광주통합특별시 동구 필문대로159번길 1-13
30704754,매입임대,7,1,11,11,일치,전남광주통합특별시 동구 필문대로187번길 19-5
30704755,매입임대,4,1,8,8,일치,전남광주통합특별시 동구 필문대로187번길 7-10
30704756,매입임대,5,1,8,8,일치,전남광주통합특별시 동구 필문대로187번길 7-14
30704757,매입임대,5,1,9,9,일치,전남광주통합특별시 동구 무등로306번길 29-15
30704758,매입임대,4,1,7,7,일치,전남광주통합특별시 서구 군분로 206-3
30704759,매입임대,2,1,6,6,일치,전남광주통합특별시 서구 풍암운리로 10-1
30704760,매입임대,6,1,11,11,일치,전남광주통합특별시 서구 경열로54번길 10
30704761,매입임대,3,1,10,10,일치,전남광주통합특별시 서구 군분로129번길 11
30704762,매입임대,2,1,6,6,일치,전남광주통합특별시 서구 군분로159번길 12
