hsmpSn,행수,세대수_고유값수,세대수_고유값,주소_고유값수,주소,공급유형_고유값수,공급유형,대표세대수_후보,세대수일관성
30703383,5,1,9,1,전남광주통합특별시 북구 설죽로251번길 71,1,매입임대,9,일치
30703384,3,1,5,1,전남광주통합특별시 북구 송월로40번길 13-8,1,매입임대,5,일치
30703385,1,1,6,1,전남광주통합특별시 북구 양일로343번길 47-9,1,매입임대,6,일치
30703386,9,1,10,1,전남광주통합특별시 북구 우치로126번길 25-7,1,매입임대,10,일치
30703387,5,1,7,1,전남광주통합특별시 북구 중흥로173번길 8-7,1,매입임대,7,일치
30703388,4,1,5,1,전남광주통합특별시 광산구 우산로 74-6,1,매입임대,5,일치
30703389,1,1,6,1,전남광주통합특별시 광산구 월계로34번길 37-11,1,매입임대,6,일치
30704212,3,1,7,1,전남광주통합특별시 동구 밤실로3번길 10-1,1,매입임대,7,일치
30704213,4,1,6,1,전남광주통합특별시 동구 중흥로213번길 16-15,1,매입임대,6,일치
30704214,2,1,6,1,전남광주통합특별시 동구 중흥로213번길 16-17,1,매입임대,6,일치
30704215,3,1,8,1,전남광주통합특별시 동구 중흥로213번길 22,1,매입임대,8,일치
30704216,2,1,6,1,전남광주통합특별시 동구 필문대로123번길 12-1,1,매입임대,6,일치
30704217,2,1,6,1,전남광주통합특별시 동구 학소로76번길 7-11,1,매입임대,6,일치
30704218,3,1,5,1,전남광주통합특별시 서구 금부로103번길 20-6,1,매입임대,5,일치
30704219,3,1,5,1,전남광주통합특별시 서구 금부로103번길 8-16,1,매입임대,5,일치
30704220,4,1,6,1,전남광주통합특별시 서구 금부로103번길 8-8,1,매입임대,6,일치
30704221,3,1,9,1,전남광주통합특별시 서구 상무대로967번길 18-4,1,매입임대,9,일치
30704222,1,1,5,1,전남광주통합특별시 서구 상무버들로53번길 22-27,1,매입임대,5,일치
30704223,1,1,5,1,전남광주통합특별시 서구 상무버들로53번길 22-31,1,매입임대,5,일치
30704224,3,1,5,1,전남광주통합특별시 서구 칠성로4번길 5,1,매입임대,5,일치
30704225,4,1,11,1,전남광주통합특별시 남구 군분로119번길 6-4,1,매입임대,11,일치
30704226,2,1,5,1,전남광주통합특별시 남구 군분로55번길 14,1,매입임대,5,일치
30704227,4,1,12,1,전남광주통합특별시 남구 군분로78번길 9,1,매입임대,12,일치
30704228,2,1,9,1,전남광주통합특별시 남구 금화로456번길 4,1,매입임대,9,일치
30704229,6,1,10,1,전남광주통합특별시 남구 대남대로372번안길 5-5,1,매입임대,10,일치
30704230,3,1,5,1,전남광주통합특별시 남구 봉주4길 16,1,매입임대,5,일치
30704231,2,1,6,1,전남광주통합특별시 남구 월광길 37-1,1,매입임대,6,일치
30704232,4,1,10,1,전남광주통합특별시 북구 안산로 20-12,1,매입임대,10,일치
30704233,1,1,6,1,전남광주통합특별시 북구 일곡로 19,1,매입임대,6,일치
30704235,2,1,12,1,전남광주통합특별시 북구 우치로257번길 20-15,1,매입임대,12,일치
30704236,2,1,6,1,전남광주통합특별시 북구 우치로257번길 3,1,매입임대,6,일치
30704237,4,1,14,1,전남광주통합특별시 북구 저불로91번길 3,1,매입임대,14,일치
30704238,3,1,6,1,전남광주통합특별시 북구 중흥로183번길 7-10,1,매입임대,6,일치
30704239,3,1,9,1,전남광주통합특별시 광산구 송정로 53-2,1,매입임대,9,일치
30704240,3,1,9,1,전남광주통합특별시 광산구 송정로 53-4,1,매입임대,9,일치
30704242,2,1,6,1,전남광주통합특별시 광산구 목련로397번안길 8-4,1,매입임대,6,일치
30704243,5,1,8,1,전남광주통합특별시 광산구 사암로130번길 36,1,매입임대,8,일치
30704244,2,1,6,1,전남광주통합특별시 광산구 수등로243번길 28-3,1,매입임대,6,일치
30704245,3,1,6,1,전남광주통합특별시 광산구 수등로243번길 28-8,1,매입임대,6,일치
30704246,3,1,5,1,전남광주통합특별시 광산구 신창로48번길 21-8,1,매입임대,5,일치
30704247,4,1,7,1,전남광주통합특별시 광산구 신창로48번길 45-4,1,매입임대,7,일치
30704248,4,1,7,1,전남광주통합특별시 광산구 신창로48번길 45-8,1,매입임대,7,일치
30704249,5,1,5,1,전남광주통합특별시 광산구 신창로48번길 46-13,1,매입임대,5,일치
30704250,2,1,5,1,전남광주통합특별시 광산구 신창로48번길 57,1,매입임대,5,일치
30704251,2,1,5,1,전남광주통합특별시 광산구 신창로48번길 63,1,매입임대,5,일치
30704252,3,1,9,1,전남광주통합특별시 광산구 야촌길 17,1,매입임대,9,일치
30704729,7,1,11,1,전남광주통합특별시 동구 무등로 437-1,1,매입임대,11,일치
30704730,3,1,9,1,전남광주통합특별시 동구 경양로217번길 5,1,매입임대,9,일치
30704731,3,1,12,1,전남광주통합특별시 동구 경양로217번길 8,1,매입임대,12,일치
30704732,3,1,12,1,전남광주통합특별시 동구 경양로223번길 6-15,1,매입임대,12,일치
30704733,3,1,12,1,전남광주통합특별시 동구 경양로235번길 15,1,매입임대,12,일치
30704734,4,1,12,1,전남광주통합특별시 동구 경양로235번길 4-3,1,매입임대,12,일치
30704735,1,1,6,1,전남광주통합특별시 동구 무등로415번길 16,1,매입임대,6,일치
30704736,2,1,12,1,전남광주통합특별시 동구 무등로449번길 16,1,매입임대,12,일치
30704737,3,1,9,1,전남광주통합특별시 동구 무등로449번길 32-1,1,매입임대,9,일치
30704738,1,1,12,1,전남광주통합특별시 동구 무등로449번길 42,1,매입임대,12,일치
30704739,4,1,9,1,전남광주통합특별시 동구 무등로449번길 48,1,매입임대,9,일치
30704740,5,1,9,1,전남광주통합특별시 동구 무등로449번길 5-25,1,매입임대,9,일치
30704741,4,1,9,1,전남광주통합특별시 동구 무등로449번길 50,1,매입임대,9,일치
30704742,3,1,9,1,전남광주통합특별시 동구 무등로449번길 8-8,1,매입임대,9,일치
30704743,3,1,13,1,전남광주통합특별시 동구 밤실로136번길 13-7,1,매입임대,13,일치
30704744,5,1,12,1,전남광주통합특별시 동구 산수길39번길 26,1,매입임대,12,일치
30704745,3,1,12,1,전남광주통합특별시 동구 의재로136번길 26-4,1,매입임대,12,일치
30704746,1,1,12,1,전남광주통합특별시 동구 의재로51번길 21,1,매입임대,12,일치
30704747,2,1,12,1,전남광주통합특별시 동구 중흥로227번길 12,1,매입임대,12,일치
30704748,5,1,12,1,전남광주통합특별시 동구 중흥로227번길 6-11,1,매입임대,12,일치
30704749,2,1,6,1,전남광주통합특별시 동구 중흥로241번길 22-1,1,매입임대,6,일치
30704750,5,1,19,1,전남광주통합특별시 동구 필문대로106번길 4,1,매입임대,19,일치
30704751,2,1,12,1,전남광주통합특별시 동구 필문대로137번길 5-7,1,매입임대,12,일치
30704752,2,1,12,1,전남광주통합특별시 동구 필문대로153번길 24,1,매입임대,12,일치
30704753,2,1,12,1,전남광주통합특별시 동구 필문대로159번길 1-13,1,매입임대,12,일치
30704754,7,1,11,1,전남광주통합특별시 동구 필문대로187번길 19-5,1,매입임대,11,일치
30704755,4,1,8,1,전남광주통합특별시 동구 필문대로187번길 7-10,1,매입임대,8,일치
30704756,5,1,8,1,전남광주통합특별시 동구 필문대로187번길 7-14,1,매입임대,8,일치
